Date,Weekday,Holiday Name,Holiday Type
19-Apr,Thursday,Yom Ha'atzmaut,Jewish holiday
20-Apr,Friday,Chinese Language Day,United Nations observance
21-Apr,Saturday,San Jacinto Day,State holiday
22-Apr,Sunday,Earth Day,Worldwide observance
22-Apr,Sunday,Oklahoma Day,Local observance
23-Apr,Monday,World Book and Copyright Day,United Nations observance
23-Apr,Monday,English Language Day,United Nations observance
23-Apr,Monday,Confederate Memorial Day,State holiday
23-Apr,Monday,State Holiday,State holiday
25-Apr,Wednesday,World Malaria Day,United Nations observance
25-Apr,Wednesday,Administrative Professionals Day,Observance
26-Apr,Thursday,World Intellectual Property Day,United Nations observance
26-Apr,Thursday,State Holiday,Local observance
26-Apr,Thursday,Take our Daughters and Sons to Work Day,Observance
27-Apr,Friday,Arbor Day,State holiday
28-Apr,Saturday,World Day for Safety and Health at Work,United Nations observance
29-Apr,Sunday,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
30-Apr,Monday,International Jazz Day,United Nations observance
30-Apr,Monday,State Holiday,State holiday
1-May,Tuesday,Law Day,Observance
1-May,Tuesday,Loyalty Day,Observance
3-May,Thursday,Lag BaOmer,Jewish holiday
3-May,Thursday,World Press Freedom Day,United Nations observance
3-May,Thursday,National Day of Prayer,Observance
4-May,Friday,Kent State Shootings Remembrance,Local observance
4-May,Friday,Rhode Island Independence Day,Local observance
5-May,Saturday,Cinco de Mayo,Observance
5-May,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance
6-May,Sunday,National Nurses Day,Observance
8-May,Tuesday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
8-May,Tuesday,World Ovarian Cancer Day,Worldwide observance
8-May,Tuesday,Truman Day,State holiday
8-May,Tuesday,Primary Election Day West Virginia,State holiday
10-May,Thursday,Ascension Day,Christian
10-May,Thursday,State Holiday,Local observance
10-May,Thursday,State Holiday,State holiday
12-May,Saturday,World Migratory Bird Day,United Nations observance
13-May,Sunday,Mother's Day,Observance
15-May,Tuesday,International Day of Families,United Nations observance
15-May,Tuesday,Peace Officers Memorial Day,Observance
16-May,Wednesday,Ramadan starts,Muslim
17-May,Thursday,World Information Society Day,United Nations observance
18-May,Friday,National Defense Transportation Day,Observance
19-May,Saturday,Armed Forces Day,Observance
20-May,Sunday,Pentecost,Christian
20-May,Sunday,Shavuot,Jewish holiday
20-May,Sunday,World Autoimmune Arthritis Day,Worldwide observance
21-May,Monday,Whit Monday,Christian
21-May,Monday,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
22-May,Tuesday,International Day for Biological Diversity,United Nations observance
